Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
CHABO_DNA_1_bin.1	76.92	23.55	Gradient Boost (General Model)	11	0.914	3424	259.3948847667229	3023394	0.44	3558	945	13396	None
CHABO_DNA_1_bin.10	7.76	0.06	Neural Network (Specific Model)	11	0.964	8479	220.14593301435406	284286	0.38	418	49	24173	None
CHABO_DNA_1_bin.11	31.7	0.85	Neural Network (Specific Model)	11	0.932	2918	231.32787916928885	1180139	0.59	1589	423	9463	None
CHABO_DNA_1_bin.12	95.47	4.01	Neural Network (Specific Model)	11	0.943	18482	307.73001508295624	1297061	0.56	1326	133	101490	None
CHABO_DNA_1_bin.13	11.11	0.0	Neural Network (Specific Model)	11	0.949	2950	258.3490304709141	294217	0.52	361	104	10600	None
CHABO_DNA_1_bin.14	7.25	0.31	Neural Network (Specific Model)	11	0.962	6447	229.91725768321513	301514	0.41	423	65	25765	None
CHABO_DNA_1_bin.15	9.29	0.02	Neural Network (Specific Model)	11	0.961	4211	200.34599156118142	294860	0.39	474	81	14648	None
CHABO_DNA_1_bin.16	82.57	6.97	Neural Network (Specific Model)	11	0.937	8577	277.6119791666667	1703997	0.42	1920	284	48453	None
CHABO_DNA_1_bin.17	39.39	3.26	Neural Network (Specific Model)	11	0.949	4130	272.39489194499015	874310	0.53	1018	245	14229	None
CHABO_DNA_1_bin.18	12.21	0.01	Neural Network (Specific Model)	11	0.937	7911	191.30666666666667	273536	0.44	450	49	37066	None
CHABO_DNA_1_bin.19	62.14	4.23	Neural Network (Specific Model)	11	0.948	8047	287.91336270190897	1239353	0.46	1362	215	32999	None
CHABO_DNA_1_bin.2	88.46	85.89	Neural Network (Specific Model)	11	0.953	14117	325.2123521155003	10187978	0.42	9974	1475	86559	None
CHABO_DNA_1_bin.20	84.46	4.68	Neural Network (Specific Model)	11	0.947	69621	300.6468273487457	1932787	0.58	2033	193	176245	None
CHABO_DNA_1_bin.21	6.21	0.16	Neural Network (Specific Model)	11	0.947	89554	298.3649851632047	317593	0.28	337	9	126811	None
CHABO_DNA_1_bin.22	68.37	9.73	Neural Network (Specific Model)	11	0.944	7663	282.81212452211906	1643535	0.45	1831	279	42186	None
CHABO_DNA_1_bin.23	10.48	0.2	Neural Network (Specific Model)	11	0.964	25432	236.5812619502868	383359	0.4	523	38	79330	None
CHABO_DNA_1_bin.24	10.11	0.31	Neural Network (Specific Model)	11	0.935	2961	218.72563176895306	580125	0.52	831	173	206871	None
CHABO_DNA_1_bin.25	76.93	33.74	Gradient Boost (General Model)	11	0.893	2979	213.52344949793266	6047162	0.34	8465	2053	100191	None
CHABO_DNA_1_bin.26	38.33	16.96	Neural Network (Specific Model)	11	0.913	3129	223.39549071618038	2757097	0.39	3770	891	48397	None
CHABO_DNA_1_bin.27	8.31	0.03	Neural Network (Specific Model)	11	0.959	87668	278.93017456359104	348127	0.4	401	10	159093	None
CHABO_DNA_1_bin.28	80.29	0.4	Neural Network (Specific Model)	11	0.946	15563	305.4843641417651	1391163	0.45	1439	123	78739	None
CHABO_DNA_1_bin.29	86.15	0.75	Neural Network (Specific Model)	11	0.949	68756	329.75954592363263	2015297	0.55	1938	59	191790	None
CHABO_DNA_1_bin.3	89.49	68.79	Neural Network (Specific Model)	11	0.936	8088	282.2844677137871	8278440	0.62	9168	1506	69961	None
CHABO_DNA_1_bin.30	14.1	0.15	Neural Network (Specific Model)	11	0.942	12795	230.32127659574468	342411	0.43	470	43	37713	None
CHABO_DNA_1_bin.31	83.66	6.22	Gradient Boost (General Model)	11	0.911	3703	240.3904761904762	995507	0.37	1260	300	20731	None
CHABO_DNA_1_bin.32	61.45	3.09	Gradient Boost (General Model)	11	0.919	4293	253.25417020073508	2916416	0.6	3537	781	18879	None
CHABO_DNA_1_bin.33	12.75	0.06	Neural Network (Specific Model)	11	0.879	54897	196.6908023483366	340881	0.4	511	12	84866	None
CHABO_DNA_1_bin.34	9.82	0.05	Neural Network (Specific Model)	11	0.912	18125	289.605459057072	382883	0.3	403	29	27837	None
CHABO_DNA_1_bin.35	82.25	0.6	Neural Network (Specific Model)	11	0.96	28733	321.39668049792533	1207253	0.52	1205	74	102381	None
CHABO_DNA_1_bin.36	8.21	0.33	Neural Network (Specific Model)	11	0.978	4983	390.041564792176	488769	0.4	409	113	41632	None
CHABO_DNA_1_bin.37	83.53	2.59	Gradient Boost (General Model)	11	0.938	10952	316.8945290468133	1794391	0.38	1773	242	40830	None
CHABO_DNA_1_bin.38	71.62	1.66	Neural Network (Specific Model)	11	0.945	7849	283.61115133960897	1240462	0.54	1381	213	27525	None
CHABO_DNA_1_bin.39	87.31	79.1	Neural Network (Specific Model)	11	0.948	5462	286.7056312818395	6568986	0.51	7263	1530	46950	None
CHABO_DNA_1_bin.4	76.2	0.06	Neural Network (Specific Model)	11	0.919	17578	298.1502561183836	1707840	0.32	1757	227	87360	None
CHABO_DNA_1_bin.40	83.22	40.27	Neural Network (Specific Model)	11	0.954	10926	302.07010135135135	2243394	0.55	2368	324	48628	None
CHABO_DNA_1_bin.41	8.94	0.02	Neural Network (Specific Model)	11	0.944	9284	242.61832061068702	300961	0.39	393	48	46823	None
CHABO_DNA_1_bin.42	63.22	3.42	Neural Network (Specific Model)	11	0.942	3306	251.38079739625712	981981	0.43	1229	313	9655	None
CHABO_DNA_1_bin.43	27.43	5.48	Neural Network (Specific Model)	11	0.937	2858	251.92229527794382	1345427	0.49	1673	474	15654	None
CHABO_DNA_1_bin.44	92.85	1.38	Neural Network (Specific Model)	11	0.921	15086	329.65699745547073	2109155	0.35	1965	228	49039	None
CHABO_DNA_1_bin.45	29.22	2.14	Neural Network (Specific Model)	11	0.778	2539	175.958	338550	0.28	500	124	14025	None
CHABO_DNA_1_bin.46	5.18	0.0	Neural Network (Specific Model)	11	0.916	3256	237.90140845070422	275861	0.61	355	86	14423	None
CHABO_DNA_1_bin.47	84.67	8.3	Neural Network (Specific Model)	11	0.936	13395	283.2292225201072	1352009	0.45	1492	195	65765	None
CHABO_DNA_1_bin.48	29.1	18.71	Neural Network (Specific Model)	11	0.948	4382	209.58529874213838	1676773	0.4	2544	418	53439	None
CHABO_DNA_1_bin.49	9.49	0.0	Neural Network (Specific Model)	11	0.949	2614	246.24433249370276	308241	0.62	397	117	7832	None
CHABO_DNA_1_bin.5	88.35	66.11	Neural Network (Specific Model)	11	0.951	5579	285.2249972734213	8235281	0.53	9169	1750	105645	None
CHABO_DNA_1_bin.50	9.15	0.04	Neural Network (Specific Model)	11	0.94	10935	220.84754521963825	271540	0.39	387	40	56468	None
CHABO_DNA_1_bin.51	26.76	1.59	Neural Network (Specific Model)	11	0.946	2800	249.34782608695653	508239	0.57	644	184	9518	None
CHABO_DNA_1_bin.52	60.55	7.51	Neural Network (Specific Model)	11	0.952	4272	265.0813609467456	1126652	0.53	1352	307	20669	None
CHABO_DNA_1_bin.53	6.66	0.03	Neural Network (Specific Model)	11	0.951	8737	217.55333333333334	204691	0.42	300	33	28204	None
CHABO_DNA_1_bin.54	86.66	50.53	Neural Network (Specific Model)	11	0.955	18990	324.0886766712142	2978545	0.55	2932	304	189462	None
CHABO_DNA_1_bin.55	48.26	1.58	Neural Network (Specific Model)	11	0.957	20436	325.84560044272274	1842932	0.61	1807	166	74710	None
CHABO_DNA_1_bin.56	62.56	0.7	Neural Network (Specific Model)	11	0.965	22669	320.7207505518764	900870	0.51	906	80	88924	None
CHABO_DNA_1_bin.57	82.84	81.76	Neural Network (Specific Model)	11	0.943	4694	268.2689964732286	7968077	0.45	9357	2000	36876	None
CHABO_DNA_1_bin.58	74.77	10.49	Gradient Boost (General Model)	11	0.948	5115	272.6824583866837	1345907	0.55	1562	317	35837	None
CHABO_DNA_1_bin.59	0.0	97.98	Neural Network (Specific Model)	11	0.949	4528	274.09788566953796	57381519	0.55	66404	14815	78554	None
CHABO_DNA_1_bin.6	94.4	0.0	Neural Network (Specific Model)	11	0.942	57957	327.38415446071906	1564541	0.6	1502	101	147299	None
CHABO_DNA_1_bin.60	55.34	2.75	Neural Network (Specific Model)	11	0.939	3711	261.42450765864334	1141779	0.52	1371	337	19880	None
CHABO_DNA_1_bin.61	63.28	21.9	Gradient Boost (General Model)	11	0.927	3830	262.0543705562526	4050099	0.68	4782	1187	23395	None
CHABO_DNA_1_bin.62	7.34	0.0	Neural Network (Specific Model)	11	0.961	7704	205.57364341085272	246259	0.43	387	41	16960	None
CHABO_DNA_1_bin.63	51.03	0.44	Neural Network (Specific Model)	11	0.95	4267	270.3974732750243	876976	0.54	1029	234	16408	None
CHABO_DNA_1_bin.64	12.77	0.68	Neural Network (Specific Model)	11	0.984	4947	1058.080684596577	1319634	0.58	409	329	34786	None
CHABO_DNA_1_bin.65	16.72	0.0	Neural Network (Specific Model)	11	0.934	4406	243.82205513784461	312167	0.45	399	82	14703	None
CHABO_DNA_1_bin.66	60.66	4.52	Gradient Boost (General Model)	11	0.934	3217	242.11329661683715	1973870	0.65	2542	653	25899	None
CHABO_DNA_1_bin.67	88.72	77.58	Neural Network (Specific Model)	11	0.958	8691	286.2061798531246	6454526	0.49	7217	1090	94437	None
CHABO_DNA_1_bin.68	45.6	1.33	Neural Network (Specific Model)	11	0.937	9746	285.63195057369813	1034330	0.45	1133	131	44381	None
CHABO_DNA_1_bin.69	5.98	0.02	Neural Network (Specific Model)	11	0.956	7185	244.84868421052633	465569	0.63	608	91	46586	None
CHABO_DNA_1_bin.7	90.23	1.42	Neural Network (Specific Model)	11	0.91	25661	307.24045977011497	2201102	0.5	2175	160	158738	None
CHABO_DNA_1_bin.70	16.0	0.54	Neural Network (Specific Model)	11	0.935	5175	263.7530120481928	560434	0.5	664	128	30533	None
CHABO_DNA_1_bin.71	71.29	4.55	Neural Network (Specific Model)	11	0.947	6302	272.77657004830917	1428840	0.54	1656	310	22551	None
CHABO_DNA_1_bin.8	29.9	4.92	Neural Network (Specific Model)	11	0.953	9362	221.9992503748126	927760	0.39	1334	167	43883	None
CHABO_DNA_1_bin.9	36.27	10.06	Gradient Boost (General Model)	11	0.91	3355	243.49279461279463	5944060	0.45	7425	1848	51957	None
